"NAME","ELEMENT.x","Axis_0.x","COLOUR.x","DEPTH.x","branch_length_observed_tree","LENGTHTOPARENT.x","NODE_NUMBER.x","PARENTNODE.x","TERMINAL_NODE_FIRST.x","TERMINAL_NODE_LAST.x","TOTAL_LENGTH.x","TREENAME.x","total_length_gui","X_y.x","ELEMENT.y","Axis_0.y","COLOUR.y","DEPTH.y","branch_length_comparison_tree","LENGTHTOPARENT.y","NODE_NUMBER.y","PARENTNODE.y","TERMINAL_NODE_FIRST.y","TERMINAL_NODE_LAST.y","TOTAL_LENGTH.y","TREENAME.y","X_y.y","rank_comparison_tree","sorted_asc_bl_comparison_tree","rwibald_score","rwibald_score_rank","bl_comparison_tree_rwibald_elbow_key","rwibald_type","range_cell_count","non_range_weighted_branch_length_observed_tree","non_range_weighted_branch_length_comparison_tree","diff_non_range_weighted_observed_to_comparison_bl","rank_BaLD"
"123___",208,208,NA,8,1.414163253873e-06,1.414163253873e-06,208,207,106,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0387932417908374,120.0916015625,208,208,NA,8,9.85965351450075e-06,9.85965351450075e-06,208,207,106,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",120.0916015625,961,54,-8.44549026062775e-06,585,"not_key","other",917,0.00129678770380154,0.00904130227279719,-0.00774451456899565,193
"124___",267,267,NA,12,0.000332848861050023,0.000332848861050023,267,265,135,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0597008101559033,145.2,267,267,NA,12,0.000311769043889558,0.000311769043889558,267,265,135,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",145.2,318,694,2.1079817160465e-05,734,"not_key","other",29,0.00965261697045067,0.00904130227279718,0.000611314697653485,702
"125___",265,265,NA,11,0.000388798479617667,0.000388798479617667,265,263,134,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0457040648896673,144.45,265,265,NA,11,0.000251147285355477,0.000251147285355477,265,263,134,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",144.45,364,647,0.00013765119426219,830,"not_key","other",36,0.013996745266236,0.00904130227279717,0.00495544299343884,799
"126___",263,263,NA,10,4.57376558379916e-05,4.57376558379916e-05,263,262,133,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0436916080327957,143.575,263,263,NA,10,0.000205484142563572,0.000205484142563572,263,262,133,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",143.575,402,610,-0.00015974648672558,189,"not_key","other",44,0.00201245685687163,0.00904130227279717,-0.00702884541592554,267
"127___",278,278,NA,15,6.90966030251847e-05,6.90966030251847e-05,278,276,140,141,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0760032303754504,150.2,278,278,NA,15,0.000282540696024912,0.000282540696024912,278,276,140,141,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",150.2,337,672,-0.000213444092999727,147,"not_key","other",32,0.00221109129680591,0.00904130227279718,-0.00683021097599127,287
"128___",276,276,NA,14,0.000241195736260507,0.000241195736260507,276,275,139,141,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0682849668151142,149.45,276,276,NA,14,0.000282540696024912,0.000282540696024912,276,275,139,141,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",149.45,337,671,-4.1344959764405e-05,385,"not_key","other",32,0.00771826356033622,0.00904130227279718,-0.00132303871246096,647
"129___",285,285,NA,16,0.000291436113134014,0.000291436113134014,285,283,144,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0751475621661553,154.2,285,285,NA,16,0.000502294570710955,0.000502294570710955,285,283,144,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",154.2,232,776,-0.000210858457576941,151,"not_key","other",18,0.00524585003641225,0.00904130227279719,-0.00379545223638494,534
"13___",22,22,NA,4,5.64684614393674e-06,5.64684614393674e-06,22,12,13,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0323831520201632,23.66875,22,22,NA,4,1.31033366272423e-05,1.31033366272423e-05,22,12,13,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",23.66875,939,77,-7.45649048330556e-06,602,"not_key","other",690,0.00389632383931635,0.00904130227279719,-0.00514497843348084,448
"130___",283,283,NA,15,3.90145970157789e-05,3.90145970157789e-05,283,281,143,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.072026394404893,153.45,283,283,NA,15,0.000113016278409965,0.000113016278409965,283,281,143,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",153.45,509,504,-7.40016813941861e-05,279,"not_key","other",80,0.00312116776126231,0.0090413022727972,-0.00592013451153489,379
"131___",281,281,NA,14,4.15714176642089e-05,4.15714176642089e-05,281,275,142,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0682849668151142,152.575,281,281,NA,14,0.000100458914142191,0.000100458914142191,281,275,142,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",152.575,548,466,-5.88874964779821e-05,317,"not_key","other",90,0.0037414275897788,0.00904130227279719,-0.00529987468301839,432
