"NAME","ELEMENT.x","Axis_0.x","COLOUR.x","DEPTH.x","branch_length_observed_tree","LENGTHTOPARENT.x","NODE_NUMBER.x","PARENTNODE.x","TERMINAL_NODE_FIRST.x","TERMINAL_NODE_LAST.x","TOTAL_LENGTH.x","TREENAME.x","total_length_gui","X_y.x","ELEMENT.y","Axis_0.y","COLOUR.y","DEPTH.y","branch_length_comparison_tree","LENGTHTOPARENT.y","NODE_NUMBER.y","PARENTNODE.y","TERMINAL_NODE_FIRST.y","TERMINAL_NODE_LAST.y","TOTAL_LENGTH.y","TREENAME.y","X_y.y","rank_comparison_tree","sorted_asc_bl_comparison_tree","rwibald_score","rwibald_score_rank","bl_comparison_tree_rwibald_elbow_key","rwibald_type"
"139___",305,305,NA,16,6.52190025192311e-05,6.52190025192311e-05,305,303,154,155,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0760024899163052,164.2,305,305,NA,16,0.000475858014357747,0.000475858014357747,305,303,154,155,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",164.2,246,765,-0.000410639011838516,91,"not_key",NA
"14___",12,12,NA,3,4.36894268221139e-06,4.36894268221139e-06,12,2,8,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0289360562438984,21.496875,12,12,NA,3,1.14591917272461e-05,1.14591917272461e-05,12,2,8,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",21.496875,949,67,-7.09024904503471e-06,607,"not_key",NA
"140___",303,303,NA,15,0.000253988972086571,0.000253988972086571,303,302,153,155,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0699067545862275,163.45,303,303,NA,15,0.000376720928033216,0.000376720928033216,303,302,153,155,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",163.45,283,729,-0.000122731955946645,217,"not_key",NA
"141___",314,314,NA,18,0.000530858962846654,0.000530858962846654,314,312,159,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0845689319897339,169.2,314,314,NA,18,0.000347742395107584,0.000347742395107584,314,312,159,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",169.2,298,713,0.00018311656773907,848,"not_key",NA
"142___",312,312,NA,17,0.000435248416966648,0.000435248416966648,312,310,158,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0710762310637678,168.45,312,312,NA,17,0.000291654912025716,0.000291654912025716,312,310,158,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",168.45,333,680,0.000143593504940932,833,"not_key",NA
"143___",310,310,NA,16,2.65627572779336e-05,2.65627572779336e-05,310,308,157,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0699074697435387,167.575,310,310,NA,16,0.000205484142563572,0.000205484142563572,310,308,157,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",167.575,402,611,-0.000178921385285638,174,"not_key",NA
"144___",308,308,NA,15,1.19192885214558e-08,1.19192885214558e-08,308,302,156,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0699067545862275,166.6375,308,308,NA,15,0.000150688371213286,0.000150688371213286,308,302,156,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",166.6375,459,557,-0.000150676451924765,193,"not_key",NA
"145___",302,302,NA,14,5.94728079981847e-05,5.94728079981847e-05,302,300,153,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.06556523960236,165.04375,302,302,NA,14,0.000123853455791742,0.000123853455791742,302,300,153,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",165.04375,488,526,-6.43806477935573e-05,303,"not_key",NA
"146___",300,300,NA,13,3.87405145640284e-05,3.87405145640284e-05,300,298,152,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0626984415246219,163.371875,300,300,NA,13,0.000122179760443205,0.000122179760443205,300,298,152,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",163.371875,491,525,-8.34392458791766e-05,261,"not_key",NA
"147___",298,298,NA,12,9.12035522103982e-05,9.12035522103982e-05,298,288,151,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0525748472292677,162.0359375,298,298,NA,12,8.14531736288035e-05,8.14531736288035e-05,298,288,151,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",162.0359375,597,418,9.75037858159471e-06,712,"not_key",NA
"148___",288,288,NA,11,8.7367210720821e-06,8.7367210720821e-06,288,270,146,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0484947984886053,159.49296875,288,288,NA,11,1.93603903057756e-05,1.93603903057756e-05,288,270,146,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",159.49296875,905,111,-1.06236692336935e-05,567,"not_key",NA
"149___",270,270,NA,10,7.23372056597839e-06,7.23372056597839e-06,270,262,137,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0436916080327957,153.760546875,270,270,NA,10,1.36164190855379e-05,1.36164190855379e-05,270,262,137,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",153.760546875,934,82,-6.38269851955951e-06,612,"not_key",NA
"15___",2,2,NA,2,2.49826833719748e-05,2.49826833719748e-05,2,1,3,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.00822541172853128,17.5671875,2,2,NA,2,1.09062753592246e-05,1.09062753592246e-05,2,1,3,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",17.5671875,955,61,1.40764080127502e-05,721,"not_key",NA
"150___",262,262,NA,9,3.73214825651318e-06,3.73214825651318e-06,262,261,133,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0411014971427755,148.6677734375,262,262,NA,9,1.30278130731948e-05,1.30278130731948e-05,262,261,133,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",148.6677734375,940,76,-9.29566481668162e-06,577,"not_key",NA
