ELEMENT,Axis_0,Axis_1,CANAPE_CODE,MIXED,NEO,PALAEO
-1225000:-2575000,-1225000,-2575000,0,0,0,0
-1225000:-2625000,-1225000,-2625000,0,0,0,0
-1225000:-2675000,-1225000,-2675000,0,0,0,0
-1225000:-2725000,-1225000,-2725000,0,0,0,0
-1225000:-2825000,-1225000,-2825000,0,0,0,0
-1225000:-2875000,-1225000,-2875000,0,0,0,0
-1225000:-2925000,-1225000,-2925000,0,0,0,0
-1225000:-2975000,-1225000,-2975000,0,0,0,0
-1225000:-3025000,-1225000,-3025000,0,0,0,0
-1225000:-3075000,-1225000,-3075000,0,0,0,0
-1225000:-3125000,-1225000,-3125000,0,0,0,0
-1225000:-3175000,-1225000,-3175000,0,0,0,0
-1225000:-3225000,-1225000,-3225000,0,0,0,0
-1225000:-3275000,-1225000,-3275000,2,0,0,1
-1225000:-3325000,-1225000,-3325000,0,0,0,0
-1225000:-3375000,-1225000,-3375000,0,0,0,0
-1225000:-3425000,-1225000,-3425000,0,0,0,0
-1225000:-3475000,-1225000,-3475000,0,0,0,0
-1225000:-3525000,-1225000,-3525000,0,0,0,0
-1225000:-3575000,-1225000,-3575000,3,1,0,0
-1225000:-3625000,-1225000,-3625000,3,1,0,0
-1225000:-3675000,-1225000,-3675000,3,1,0,0
-1225000:-3725000,-1225000,-3725000,3,1,0,0
-1225000:-3775000,-1225000,-3775000,3,1,0,0
-1225000:-3825000,-1225000,-3825000,3,1,0,0
-1225000:-3875000,-1225000,-3875000,3,1,0,0
-125000:-1225000,-125000,-1225000,0,0,0,0
-125000:-1275000,-125000,-1275000,0,0,0,0
-125000:-1325000,-125000,-1325000,0,0,0,0
-125000:-1375000,-125000,-1375000,0,0,0,0
-125000:-1425000,-125000,-1425000,0,0,0,0
-125000:-1475000,-125000,-1475000,0,0,0,0
-125000:-1525000,-125000,-1525000,0,0,0,0
-125000:-1575000,-125000,-1575000,0,0,0,0
-125000:-1625000,-125000,-1625000,0,0,0,0
-125000:-1675000,-125000,-1675000,0,0,0,0
-125000:-1725000,-125000,-1725000,0,0,0,0
-125000:-1775000,-125000,-1775000,0,0,0,0
-125000:-1825000,-125000,-1825000,0,0,0,0
-125000:-1875000,-125000,-1875000,0,0,0,0
-125000:-1925000,-125000,-1925000,0,0,0,0
-125000:-1975000,-125000,-1975000,0,0,0,0
-125000:-2075000,-125000,-2075000,0,0,0,0
-125000:-2125000,-125000,-2125000,0,0,0,0
-125000:-2225000,-125000,-2225000,0,0,0,0
-125000:-2275000,-125000,-2275000,0,0,0,0
-125000:-2325000,-125000,-2325000,0,0,0,0
-125000:-2375000,-125000,-2375000,0,0,0,0
-125000:-2425000,-125000,-2425000,0,0,0,0
-125000:-2475000,-125000,-2475000,0,0,0,0
-125000:-2525000,-125000,-2525000,0,0,0,0
-125000:-2575000,-125000,-2575000,0,0,0,0
-125000:-2625000,-125000,-2625000,0,0,0,0
-125000:-2675000,-125000,-2675000,0,0,0,0
-125000:-2725000,-125000,-2725000,0,0,0,0
-125000:-2775000,-125000,-2775000,0,0,0,0
-125000:-2825000,-125000,-2825000,0,0,0,0
-125000:-2875000,-125000,-2875000,0,0,0,0
-125000:-2975000,-125000,-2975000,0,0,0,0
-125000:-3025000,-125000,-3025000,0,0,0,0
-125000:-3075000,-125000,-3075000,0,0,0,0
-125000:-3125000,-125000,-3125000,0,0,0,0
-125000:-3175000,-125000,-3175000,0,0,0,0
-125000:-3225000,-125000,-3225000,0,0,0,0
-125000:-3375000,-125000,-3375000,0,0,0,0
-125000:-3425000,-125000,-3425000,0,0,0,0
-1275000:-2225000,-1275000,-2225000,0,0,0,0
-1275000:-2275000,-1275000,-2275000,0,0,0,0
-1275000:-2325000,-1275000,-2325000,0,0,0,0
-1275000:-2375000,-1275000,-2375000,0,0,0,0
-1275000:-2425000,-1275000,-2425000,0,0,0,0
