ELEMENT,Axis_0,Axis_1,PD,PD_P,PD_P_per_taxon,PD_per_taxon,PE_WE,PE_WE_P,PHYLO_RPD2,PHYLO_RPD_DIFF2,PHYLO_RPD_NULL2,PHYLO_RPE2,PHYLO_RPE_DIFF2,PHYLO_RPE_NULL2
-1025000:-3125000,-1025000,-3125000,0.26468005594208,0.0288444857061448,0.00721112142653619,0.06617001398552,0.000441961513271061,4.81643866472618e-005,0.496222932063338,-0.26870935200309,0.058128078817734,0.553059674268714,-0.000357159329982331,8.70871424696574e-005
-1025000:-3175000,-1025000,-3175000,0.338647851943556,0.0369053991999309,0.00369053991999309,0.0338647851943556,0.000822429181782748,8.9627254663419e-005,0.594586987109998,-0.230903549760609,0.0620689655172414,0.627892742950294,-0.000487395132985378,0.000142742937658883
-1025000:-3225000,-1025000,-3225000,0.403642461392345,0.0439884265800987,0.00399894787091806,0.036694769217486,0.00289800071230059,0.00031582032059357,0.603354769983786,-0.265354423149054,0.0729064039408867,1.22912885353072,0.000540232684989229,0.000256946470409807
-1025000:-3275000,-1025000,-3275000,0.594102367742107,0.0647444976287671,0.00431629984191781,0.0396068245161404,0.00274875660302282,0.00029955589310784,0.619959104652817,-0.36419046687125,0.104433497536946,0.863009427383862,-0.000436326335590534,0.000347106165474828
-1025000:-3325000,-1025000,-3325000,0.687830909187933,0.0749589112700562,0.00356947196524077,0.032753852818473,0.00376917164181195,0.000410759387061797,0.639355419656362,-0.387988405142156,0.117241379310345,0.849527591265044,-0.000667613791135813,0.000483515063295506
-1025000:-3375000,-1025000,-3375000,0.558474460303531,0.0608618149566858,0.00380386343479286,0.0349046537689707,0.00241548209384554,0.00026323607376229,0.582780586613548,-0.399818374309825,0.104433497536946,0.66558560665901,-0.00121362597231345,0.000395495442101935
-1025000:-3425000,-1025000,-3425000,0.817683572560673,0.089110084388213,0.00342731093800819,0.0314493681754105,0.00686620107557938,0.000748269596948419,0.63249465492333,-0.475107704323384,0.140886699507389,0.842458458647952,-0.00128399434960376,0.000888197618846755
-1025000:-3475000,-1025000,-3475000,0.562264610117114,0.061274860517421,0.00437677575124436,0.0401617578655081,0.00492342643826903,0.000536548562446213,0.634632483930431,-0.323704236978254,0.096551724137931,1.15206808151546,0.000649871327018464,0.000465726436705392
-1025000:-3525000,-1025000,-3525000,0.434706255532901,0.0473737181649771,0.00430670165136155,0.039518750502991,0.00430671071762736,0.000469339691247031,0.593633628857429,-0.29757411808674,0.0798029556650246,1.08415565083072,0.000334300746487703,0.000432908033903993
-1025000:-3575000,-1025000,-3575000,0.312585124587635,0.0340651173207193,0.00567751955345322,0.0520975207646058,0.00682392258028255,0.000743662141925311,0.705634573072043,-0.130399298960049,0.0482758620689655,1.67961296328593,0.002761127918986,0.000442758039013011
-1025000:-3625000,-1025000,-3625000,0.612696771129755,0.0667708913471011,0.00351425743932111,0.0322471984805134,0.0108072342634077,0.00117775823011779,0.62752272886396,-0.363677060363098,0.1064039408867,0.871029032251931,-0.0016001986271666,0.00135214577988618
-1025000:-3675000,-1025000,-3675000,0.597978362542562,0.0651668984636955,0.00543057487197463,0.0498315302118802,0.00559205578364421,0.000609414912450324,0.601312744915009,-0.396476465829789,0.108374384236453,0.607849705655613,-0.00360767851187996,0.00100257498980447
-1025000:-3725000,-1025000,-3725000,0.71586492531455,0.0780140216166664,0.00487587635104165,0.0447415578321593,0.0140926636591494,0.00153580002101403,0.733187332786263,-0.260508906178304,0.1064039408867,1.35051407999036,0.00365762720306895,0.00113719660073813
-1075000:-2025000,-1075000,-2025000,0.404041174159846,0.0440318777750974,0.00489243086389971,0.0448934637955384,0.00168046362707652,0.000183134724293363,0.667050088682446,-0.201672221303313,0.0660098522167488,1.00979565224238,1.63015529530663e-005,0.00018135820241124
-1075000:-2075000,-1075000,-2075000,0.456153486827936,0.0497110093308116,0.00414258411090097,0.0380127905689946,0.00220779727638738,0.000240602854469536,0.672755659610317,-0.221883896153213,0.0738916256157636,1.05530850160682,0.000115710201351243,0.000227992908332675
-1075000:-2125000,-1075000,-2125000,0.507926937532732,0.0553532121537515,0.00553532121537515,0.0507926937532732,0.00461561012067673,0.000503003143463635,0.676909763085033,-0.242434432966406,0.0817733990147783,1.46423699035615,0.00146338124579081,0.000343525772656028
-1075000:-2175000,-1075000,-2175000,0.0825808135594939,0.00899954886226819,0.00899954886226819,0.0825808135594939,0.00123196277310862,0.000134257688864968,0.570908880950138,-0.0620671614764844,0.0157635467980296,0.531816772451329,-0.00108455456317259,0.000252451024149027
-1075000:-2325000,-1075000,-2325000,0.0976152526165279,0.010637982332206,0.010637982332206,0.0976152526165279,0.000189004066631202,2.05974155436175e-005,0.719836804479274,-0.0379922239797018,0.0147783251231527,0.781283805291319,-5.29106708190741e-005,2.63635511245971e-005
-1075000:-2375000,-1075000,-2375000,0.220159330047417,0.0239926753303119,0.00799755844343731,0.0733864433491391,0.00384735636934627,0.000419279856228904,0.608814136506665,-0.141460607542529,0.0394088669950739,1.65001330730097,0.00151564404174108,0.000254106954394657
-1075000:-2425000,-1075000,-2425000,0.108185027255204,0.0117898625235461,0.0117898625235461,0.108185027255204,0.000251432942437559,2.74008326331212e-005,0.797780697426621,-0.0274224493410253,0.0147783251231527,0.975668291389089,-6.27036170445247e-006,2.80841684360879e-005
-1075000:-2475000,-1075000,-2475000,0.166929195237741,0.0181917249822062,0.0090958624911031,0.0834645976188706,0.00109714165550753,0.000119565060114798,0.559533359301191,-0.131407253273964,0.032512315270936,1.01843650658332,1.98612866131995e-005,0.000117400603122446
-1075000:-2525000,-1075000,-2525000,0.302460135743691,0.0329617093025197,0.00659234186050395,0.0604920271487383,0.0014862940938231,0.00016197438296518,0.669122698841151,-0.149564786243741,0.0492610837438424,0.788734555376502,-0.000398109326429763,0.000205359815746709
-1075000:-2625000,-1075000,-2625000,0.228701723454187,0.0249236141713244,0.0062309035428311,0.0571754308635467,0.000462380164934097,5.03895845524718e-005,0.588313218230099,-0.160039709455005,0.0423645320197044,0.887425740753994,-5.86551664742969e-005,5.67817477433759e-005
