ELEMENT,Axis_0,Axis_1,C_PD,C_PD_P,C_PD_P_per_taxon,C_PD_per_taxon,C_PE_WE,C_PE_WE_P,C_PHYLO_RPD2,C_PHYLO_RPD_DIFF2,C_PHYLO_RPD_NULL2,C_PHYLO_RPE2,C_PHYLO_RPE_DIFF2,C_PHYLO_RPE_NULL2,P_PD,P_PD_P,P_PD_P_per_taxon,P_PD_per_taxon,P_PE_WE,P_PE_WE_P,P_PHYLO_RPD2,P_PHYLO_RPD_DIFF2,P_PHYLO_RPD_NULL2,P_PHYLO_RPE2,P_PHYLO_RPE_DIFF2,P_PHYLO_RPE_NULL2,Q_PD,Q_PD_P,Q_PD_P_per_taxon,Q_PD_per_taxon,Q_PE_WE,Q_PE_WE_P,Q_PHYLO_RPD2,Q_PHYLO_RPD_DIFF2,Q_PHYLO_RPD_NULL2,Q_PHYLO_RPE2,Q_PHYLO_RPE_DIFF2,Q_PHYLO_RPE_NULL2,SUMX_PD,SUMX_PD_P,SUMX_PD_P_per_taxon,SUMX_PD_per_taxon,SUMX_PE_WE,SUMX_PE_WE_P,SUMX_PHYLO_RPD2,SUMX_PHYLO_RPD_DIFF2,SUMX_PHYLO_RPD_NULL2,SUMX_PHYLO_RPE2,SUMX_PHYLO_RPE_DIFF2,SUMX_PHYLO_RPE_NULL2,SUMXX_PD,SUMXX_PD_P,SUMXX_PD_P_per_taxon,SUMXX_PD_per_taxon,SUMXX_PE_WE,SUMXX_PE_WE_P,SUMXX_PHYLO_RPD2,SUMXX_PHYLO_RPD_DIFF2,SUMXX_PHYLO_RPD_NULL2,SUMXX_PHYLO_RPE2,SUMXX_PHYLO_RPE_DIFF2,SUMXX_PHYLO_RPE_NULL2,T_PD,T_PD_P,T_PD_P_per_taxon,T_PD_per_taxon,T_PE_WE_P,T_PHYLO_RPD2,T_PHYLO_RPD_DIFF2,T_PHYLO_RPD_NULL2,T_PHYLO_RPE_DIFF2,T_PHYLO_RPE_NULL2
575000:-2675000,575000,-2675000,762,762,762,762,356,356,892,886,139,627,639,131,0.762762762762763,0.762762762762763,0.762762762762763,0.762762762762763,0.356356356356356,0.356356356356356,0.892892892892893,0.886886886886887,0.139139139139139,0.627627627627628,0.63963963963964,0.131131131131131,999,999,999,999,999,999,999,999,999,999,999,999,213.133017212821,23.2269569636482,7.74231898788275,71.0443390709402,0.942760241139268,0.102740775851332,575.44453783828,-170.383007598196,41.7950738916255,945.232403806907,-0.0216317049445384,0.105098170713787,46.858589107574,0.556509230844098,0.0618343589826775,5.20650990084155,0.00226253814200954,2.68707057797787e-005,355.521762582769,35.1463325904763,1.80813705743891,1328.06502521213,0.000760797604857584,1.71344118174728e-005,,,,,,,,22,,
575000:-2775000,575000,-2775000,848,848,848,848,130,130,761,680,561,558,611,22,0.848848848848849,0.848848848848849,0.848848848848849,0.848848848848849,0.13013013013013,0.13013013013013,0.761761761761762,0.680680680680681,0.561561561561562,0.558558558558559,0.611611611611612,0.022022022022022,999,999,999,999,999,999,999,999,999,999,999,999,303.380092226718,33.06196495469,6.61239299093798,60.6760184453436,1.54439723813134,0.1683063875037,574.012220342517,-234.348754969532,58.6009852216748,947.842846536705,-0.0145116368757865,0.169887846676914,94.829432055196,1.12622798294816,0.0450491193179265,3.79317728220784,0.00712222186715277,8.45860340372378e-005,345.186718539671,62.4482322416963,3.51122521779225,1302.31707591774,0.00338260555147378,3.98457090887976e-005,,,,,,,,38,,
575000:-2825000,575000,-2825000,831,831,831,831,82,82,823,783,405,514,574,7,0.831831831831832,0.831831831831832,0.831831831831832,0.831831831831832,0.0820820820820821,0.0820820820820821,0.823823823823824,0.783783783783784,0.405405405405405,0.514514514514514,0.574574574574575,0.00700700700700701,999,999,999,999,999,999,999,999,999,999,999,999,388.483733477127,42.3364482732422,6.0480640390346,55.4976762110181,2.17423924037488,0.236945743673472,583.309413804649,-286.823418975218,73.5940886699507,970.507323535535,-0.0151406977613283,0.238595757077781,154.718105605568,1.83748712003566,0.0374997371435849,3.1575123592973,0.00844457700324282,0.000100290792838208,354.394293053125,92.4078307147181,5.50607100390692,1211.24658305479,0.00204451972885504,7.19205836571224e-005,,,,,,,,40,,
575000:-2875000,575000,-2875000,802,802,802,802,44,44,737,692,508,338,481,23,0.802802802802803,0.802802802802803,0.802802802802803,0.802802802802803,0.044044044044044,0.044044044044044,0.737737737737738,0.692692692692693,0.508508508508508,0.338338338338338,0.481481481481481,0.023023023023023,999,999,999,999,999,999,999,999,999,999,999,999,429.556977900742,46.8125566353367,5.85156957941709,53.6946222375928,2.58829572106216,0.282069076431624,586.395287295435,-309.738822508142,80.5674876847291,956.705210062474,0.00598898063738503,0.281416405168674,188.709810032072,2.24118466291401,0.0350185103580313,2.94859078175113,0.0156070862934826,0.000185355294607015,354.391153841578,105.231722699919,6.58308816035333,1173.63560793323,0.0056338774716112,0.000100281503659096,,,,,,,,32,,
575000:-2975000,575000,-2975000,228,228,228,228,112,112,528,533,409,380,514,114,0.228228228228228,0.228228228228228,0.228228228228228,0.228228228228228,0.112112112112112,0.112112112112112,0.528528528528528,0.533533533533533,0.409409409409409,0.38038038038038,0.514514514514514,0.114114114114114,999,999,999,999,999,999,999,999,999,999,999,999,100.031069592764,10.9012549010125,10.9012549010125,100.031069592764,0.275248621962175,0.0299962341838154,632.415398488022,-82.704525369875,19.9142857142858,853.542148104519,-0.0398400586673925,0.0343379515779474,10.2962143972899,0.122281495537295,0.122281495537295,10.2962143972899,0.000285404126280561,3.38956067224941e-006,473.501324583765,10.7210768488301,0.452238103326943,1250.46481060566,0.000108184544303663,2.51336471076917e-006,27,27,27,27,,27,27,55,,
575000:-3025000,575000,-3025000,895,895,895,895,167,167,989,989,10,843,758,0,0.895895895895896,0.895895895895896,0.895895895895896,0.895895895895896,0.167167167167167,0.167167167167167,0.98998998998999,0.98998998998999,0.01001001001001,0.843843843843844,0.758758758758759,0,999,999,999,999,999,999,999,999,999,999,999,999,303.057419877253,33.0268005448187,6.60536010896374,60.6114839754506,1.53977032919291,0.167802153029882,571.888524082008,-236.145028564676,58.7615763546798,938.22636607418,-0.0457290299598825,0.172785642799593,94.3555255711924,1.12059970139023,0.0448239880556093,3.7742210228477,0.00498611270074052,5.92168436318238e-005,342.341886539337,63.1268726767318,3.52491446043341,1171.61472231233,0.00142864447898527,4.09792337153569e-005,,,,,,,,4,,
575000:-3075000,575000,-3075000,116,116,116,116,265,265,884,900,32,695,701,42,0.116116116116116,0.116116116116116,0.116116116116116,0.116116116116116,0.265265265265265,0.265265265265265,0.884884884884885,0.900900900900901,0.032032032032032,0.695695695695696,0.701701701701702,0.042042042042042,999,999,999,999,999,999,999,999,999,999,999,999,161.807558925806,17.6335757674274,8.8167878837137,80.9037794629031,0.610662693299403,0.0665492202102491,578.490665008139,-135.236098309015,32.3714285714286,888.63729714677,-0.0325052483387675,0.0700915995850193,27.022622798939,0.320930256664451,0.0802325641661127,6.75565569973476,0.00134124746971255,1.59291308585447e-005,373.339276869288,23.3326583545634,1.10559246766484,1294.78944859922,0.000525500936264743,8.69190561457734e-006,,,,,,,,8,,
575000:-3125000,575000,-3125000,775,775,775,775,398,398,848,829,203,536,542,242,0.775775775775776,0.775775775775776,0.775775775775776,0.775775775775776,0.398398398398398,0.398398398398398,0.848848848848849,0.82982982982983,0.203203203203203,0.536536536536537,0.542542542542543,0.242242242242242,999,999,999,999,999,999,999,999,999,999,999,999,159.043457664628,17.3323476335787,8.66617381678937,79.521728832314,0.649218061603244,0.0707509337317945,576.508174783076,-134.320716705215,31.9704433497537,890.869838454544,0.00356850915291242,0.07036204227986,26.01072787059,0.30891263344968,0.07722815836242,6.5026819676475,0.00384850414053756,4.57062007188071e-005,366.41996147134,23.108073103293,1.08117353005412,1268.99978845511,0.00243998390112389,9.31125460433665e-006,1,1,1,1,,1,1,24,,
575000:-3175000,575000,-3175000,580,580,580,580,39,39,911,933,35,568,621,0,0.580580580580581,0.580580580580581,0.580580580580581,0.580580580580581,0.039039039039039,0.039039039039039,0.911911911911912,0.933933933933934,0.035035035035035,0.568568568568569,0.621621621621622,0,999,999,999,999,999,999,999,999,999,999,999,999,500.164895141617,54.5073149439894,5.45073149439895,50.0164895141616,3.06082118441833,0.333564282313509,591.770442198119,-350.97995196384,92.7566502463054,967.182597519788,-0.0393081111814747,0.337848028767598,255.477912315052,3.03414633662379,0.030341463366238,2.55477912315052,0.016138972424655,0.000191672163027357,359.836125670028,133.806010784296,8.70161566648063,1153.66159460042,0.00436291386408364,0.000135141741181414,,,,,,,,11,,
575000:-3225000,575000,-3225000,502,502,502,502,7,7,858,905,65,643,652,0,0.502502502502503,0.502502502502503,0.502502502502503,0.502502502502503,0.00700700700700701,0.00700700700700701,0.858858858858859,0.905905905905906,0.0650650650650651,0.643643643643644,0.652652652652653,0,999,999,999,999,999,999,999,999,999,999,999,999,426.119347647441,46.4379281944009,5.80474102430011,53.2649184559301,2.41702259847957,0.263403955938898,582.249527251455,-312.426091390945,80.4857142857143,952.51797356542,-0.0900465189289978,0.273217107590581,185.795263515726,2.20657047433169,0.0344776636614327,2.90305099243323,0.00947919009142039,0.000112578224980075,349.455008531227,106.806380236613,6.57107622121381,1126.25694913621,0.00210981642889422,9.26458339857493e-005,,,,,,,,8,,
