ELEMENT,Axis_0,COLOUR,DEPTH,LENGTH,LENGTHTOPARENT,NAME,NODE_NUMBER,PARENTNODE,TERMINAL_NODE_FIRST,TERMINAL_NODE_LAST,TOTAL_LENGTH,TREENAME,_y
621,621,,20,5.94822517947183e-005,5.94822517947183e-005,295___,621,619,312,315,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,322.575
622,622,,21,0.00301376742426573,0.00301376742426573,auratiflora,622,621,312,312,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,321.7
623,623,,21,6.06798810254845e-005,6.06798810254845e-005,294___,623,621,313,315,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,323.45
624,624,,22,0.000107634550866633,0.000107634550866633,wilhelmiana,624,623,313,313,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,322.7
625,625,,22,0.000139096958043034,0.000139096958043034,293___,625,623,314,315,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,324.2
626,626,,23,0.000143512734488844,0.000143512734488844,ixiophylla,626,625,314,314,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,323.7
627,627,,23,0.00452065113639859,0.00452065113639859,dictyoneura,627,625,315,315,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,324.7
628,628,,17,7.23304181823775e-006,7.23304181823775e-006,345___,628,614,316,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,339.674243164062
629,629,,18,9.32093017814143e-006,9.32093017814143e-006,320___,629,628,316,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,327.714892578125
63,63,,4,3.01276316987577e-006,3.01276316987577e-006,504___,63,39,34,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,92.5029640009627
630,630,,19,2.60556261463896e-005,2.60556261463896e-005,299___,630,629,316,317,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,326.2
631,631,,20,0.000136989428375715,0.000136989428375715,cyclops,631,630,316,316,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,325.7
632,632,,20,3.2061355577295e-005,3.2061355577295e-005,stenophylla,632,630,317,317,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,326.7
633,633,,19,1.11346087103414e-005,1.11346087103414e-005,319___,633,629,318,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,329.22978515625
634,634,,20,0.000361652090911887,0.000361652090911887,brachyclada,634,633,318,318,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,327.7
635,635,,20,1.1203596372735e-005,1.1203596372735e-005,318___,635,633,319,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,330.7595703125
636,636,,21,0.000645807305199799,0.000645807305199799,redolens,636,635,319,319,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,328.7
637,637,,21,1.13441684727694e-005,1.13441684727694e-005,317___,637,635,320,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,332.819140625
638,638,,22,3.26400804072101e-005,3.26400804072101e-005,301___,638,637,320,322,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,330.45
639,639,,23,8.95178442851206e-005,8.95178442851206e-005,georginae,639,638,320,320,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,329.7
64,64,,5,5.69351528513677e-006,5.69351528513677e-006,85___,64,63,34,91,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,62.709765625
640,640,,23,5.13710356408931e-005,5.13710356408931e-005,300___,640,638,321,322,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,331.2
641,641,,24,0.000376720928033216,0.000376720928033216,argyrodendron,641,640,321,321,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,330.7
642,642,,24,5.58105078567727e-005,5.58105078567727e-005,harpophylla,642,640,322,322,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,331.7
643,643,,22,1.4489266462816e-005,1.4489266462816e-005,316___,643,637,323,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,335.18828125
644,644,,23,8.21936570254289e-005,8.21936570254289e-005,sclerophylla,644,643,323,323,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,332.7
645,645,,23,1.55884521944779e-005,1.55884521944779e-005,315___,645,643,324,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,337.6765625
646,646,,24,4.66046508907071e-005,4.66046508907071e-005,304___,646,645,324,327,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,335.2
647,647,,25,0.000120550696970629,0.000120550696970629,302___,647,646,324,325,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,334.2
648,648,,26,0.00301376742426573,0.00301376742426573,amyctica,648,647,324,324,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,333.7
649,649,,26,0.000123853455791742,0.000123853455791742,ancistrophylla,649,647,325,325,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,334.7
65,65,,6,6.98709603771034e-006,6.98709603771034e-006,50___,65,64,34,56,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,50.80546875
650,650,,25,5.75879125655872e-005,5.75879125655872e-005,303___,650,646,326,327,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,336.2
651,651,,26,0.000196550049408634,0.000196550049408634,enervia,651,650,326,326,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,335.7
652,652,,26,8.07259131499748e-005,8.07259131499748e-005,papyrocarpa,652,650,327,327,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,336.7
653,653,,24,2.28893728425245e-005,2.28893728425245e-005,314___,653,645,328,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,340.153125
654,654,,25,4.91375123521586e-005,4.91375123521586e-005,305___,654,653,328,329,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,338.2
655,655,,26,8.00115245380282e-005,8.00115245380282e-005,omalophylla,655,654,328,328,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,337.7
656,656,,26,7.72760878016853e-005,7.72760878016853e-005,melvillei,656,654,329,329,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,338.7
657,657,,25,2.90717114880938e-005,2.90717114880938e-005,313___,657,653,330,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,342.10625
658,658,,26,0.000311769043889558,0.000311769043889558,306___,658,657,330,331,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,340.2
659,659,,27,0.000347742395107584,0.000347742395107584,microsperma,659,658,330,330,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,339.7
66,66,,7,2.45687561760793e-005,2.45687561760793e-005,35___,66,65,34,41,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,47.2
660,660,,27,0.00180826045455944,0.00180826045455944,maranoensis,660,658,331,331,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,340.7
661,661,,26,3.05449401108013e-005,3.05449401108013e-005,312___,661,657,332,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,344.0125
662,662,,27,0.000170590608920702,0.000170590608920702,308___,662,661,332,334,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,342.45
663,663,,28,0.000361652090911887,0.000361652090911887,cana,663,662,332,332,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,341.7
664,664,,28,0.000322903652599899,0.000322903652599899,307___,664,662,333,334,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,343.2
665,665,,29,0.0012916146103996,0.0012916146103996,latzii,665,664,333,333,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,342.7
666,666,,29,0.000430538203466533,0.000430538203466533,sibilans,666,664,334,334,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,343.7
667,667,,27,3.5595678239359e-005,3.5595678239359e-005,311___,667,661,335,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,345.575
668,668,,28,6.27868213388693e-005,6.27868213388693e-005,pendula,668,667,335,335,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,344.7
669,669,,28,7.35065225430665e-005,7.35065225430665e-005,310___,669,667,336,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,346.45
67,67,,8,3.61652090911887e-005,3.61652090911887e-005,31___,67,66,34,37,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,45.2
670,670,,29,0.000215269101733266,0.000215269101733266,loderi,670,669,336,336,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,345.7
671,671,,29,0.000111621015713545,0.000111621015713545,309___,671,669,337,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,347.2
672,672,,30,0.000753441856066432,0.000753441856066432,maconochieana,672,671,337,337,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,346.7
673,673,,30,0.000131033366272423,0.000131033366272423,tephrina,673,671,338,338,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,347.7
674,674,,18,1.78681863098759e-005,1.78681863098759e-005,344___,674,628,339,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,351.63359375
675,675,,19,0.0022603255681993,0.0022603255681993,dolichophylla,675,674,339,339,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,348.7
676,676,,19,1.80105622964087e-005,1.80105622964087e-005,343___,676,674,340,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,354.5671875
677,677,,20,0.000410968285127145,0.000410968285127145,322___,677,676,340,342,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,350.45
678,678,,21,0.00301376742426573,0.00301376742426573,barattensis,678,677,340,340,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,349.7
679,679,,21,0.000475858014357747,0.000475858014357747,321___,679,677,341,342,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,351.2
68,68,,9,6.55166831362115e-005,6.55166831362115e-005,29___,68,67,34,35,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,44.2
680,680,,22,0.000602753484853146,0.000602753484853146,crassiuscula,680,679,341,341,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,350.7
681,681,,22,0.0012916146103996,0.0012916146103996,spongolitica,681,679,342,342,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,351.7
682,682,,20,1.86803765966884e-005,1.86803765966884e-005,342___,682,676,343,363,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,358.684375
683,683,,21,2.5612754313873e-005,2.5612754313873e-005,328___,683,682,343,349,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,355.0125
684,684,,22,0.00012916146103996,0.00012916146103996,324___,684,683,343,345,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,353.45
685,685,,23,0.00024435952088641,0.00024435952088641,elongata,685,684,343,343,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,352.7
686,686,,23,0.00024435952088641,0.00024435952088641,323___,686,684,344,345,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,354.2
687,687,,24,0.000602753484853146,0.000602753484853146,baeuerlenii,687,686,344,344,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,353.7
688,688,,24,0.000301376742426573,0.000301376742426573,venulosa,688,686,345,345,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,354.7
689,689,,22,2.60556261463896e-005,2.60556261463896e-005,327___,689,683,346,349,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,356.575
69,69,,10,0.000103923014629853,0.000103923014629853,amblygona,69,68,34,34,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,43.7
690,690,,23,7.79422609723895e-005,7.79422609723895e-005,genistifolia,690,689,346,346,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,355.7
691,691,,23,2.72328381710759e-005,2.72328381710759e-005,326___,691,689,347,349,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,357.45
692,692,,24,0.0012916146103996,0.0012916146103996,tessellata,692,691,347,347,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,356.7
